,review_content,rating
0,Awful service from Amazon,4.1 out of 5
1,Awesome laptop at this price,4.1 out of 5
2,Great Laptop! Extremely happy,4.1 out of 5
3,Overall laptop is good for students and working professional,4.1 out of 5
4,Up to the price.. Great Product.,3.8 out of 5
5,The laptop received was defective. Amazon support was touchwood useless.,4.1 out of 5
6,Terrible display and camera,4.2 out of 5
7,Absolute disaster.. don't buy,3.7 out of 5
8,Go For it....!!,4.1 out of 5
9,Faulty,4.2 out of 5
10,Best For The Price,4.6 out of 5
11,Amazing performance,3.7 out of 5
12,Best RTX Laptop under 70k,3 out of 5
13,Impressive,4.4 out of 5
14,"Its an excellent laptop, Worth the price!!",4.3 out of 5
15,Acer Nitro is a very good Gaming laptop with good looking design. .,3.7 out of 5
16,Not being a high end laptop does the job.,4.1 out of 5
17,Good basic multitasking laptop within a reasonable price,4.1 out of 5
18,Compact. Fast. Efficient.,4.3 out of 5
19,Good,4.3 out of 5
20,Ideal laptop under 12',4.5 out of 5
21,Mini laptop,4.4 out of 5
22,  Blazingly fast for a memory card.See speed - image attached.Moving from phone's internal storage to memory card.,5.0 out of 5 stars
23,  totally worst experience from amazon.1st one was not working as i cant use it as an adoptable storage in my device.they replaced with another one .But  same problem cant even format it.. worst experience.When i grab this deal during gr8Indian festival  i was happy. Now i initiated my refund,1.0 out of 5 stars
24,"  After usage of 8 month, the card got write protected. I've tried many ways to remove the protection, all are failure. Really disappointed.",1.0 out of 5 stars
25,  This is genuine Samsung Microsd card manufactured in Philipines an imported by Samsung India. It also carries a Samsung hologram.,5.0 out of 5 stars
26,"  Simply mind blowing product .. flawlessly recording of 4k recording.The write speed of the card is good. If u want to check ur card speed simply buy USB 3 card reader and put ur memory card in it then plug it to usb 3 port of ur laptop or computer what u have. I got write speed of 75 mb/sec and read speed to 90 mb/sec.There is lots of fake card available in online..if u want to purchase card simply ask the seller about it from where is it made from like made in China,Japan, Europe,korea, Philippines or Vietnam.Don't buy made in china very poor quality .Made in Vietnam is super quality but not available in India.Made in Philippines , Japan or Korea is best I have tested and I got good respond on it.",5.0 out of 5 stars
27,"  This is unbelievable, got malfunctioned in 2 weeks to my surprise. Inserted in mobile later and can't read. Took to replace, the guy checked. Result was same except for visibility on desktop, we were left clueless. Replacement on way since a week. Hope it doesn't take ages.",1.0 out of 5 stars
28,"  Not as expected!! Speed is very slow in USB 2 port of the computer.  it's just 10 MBPS write speed.  Took more than 12 mins to copy 3 GB file. My other brand memory card took only 7 mins to copy the same files.Need to check in USB 3 port.In mobile phone it's normal like other memory cards,Max Write speed is 35 MBPS.Max Read speed is 80 MBPS.No Speed performance observed.Just normal memory card like other brands. 1700 Rs is high for this card.Other brands available for less than 1400.",3.0 out of 5 stars
29,  I was having a terrible time with my class4 transcend card so New memory card purchase was inevitable ! As i have more trust - i went for samsung.Got this one for 650rs. Packaging was good for a  small memory card.This card is blazing fast both in read and write😊I got write speed ranging between 15-25 mbps which is awesome ! I could easily transefer the whole Harry potter to my phone within 15 mins.I am super happy with this purchase🖐🏻5 out of 5🖐🏻,5.0 out of 5 stars
30,"  Nothing to say...only WOW... Speed is amazing.. earlier I was using aandil 32 gb class 10 for my samsung note3...while copying items from phone memory to card, I was getting a speed of average 4-5mb speed...Now it's 35-40mb speed... REALLY,BRAND NAME DOES MATTERS...",5.0 out of 5 stars
31,  Original samsung product with samsung logo and what a speed of both read and write speed:Read - 100mbps/sWrite - 60mbps and sometimes more than 60mbps/sIt is also supported well under drone and action cameras like go pro and can capture burst shoot photos very fast without any frame skipping.The transfer rate is also good when you install any apps or games in the SD card. The application performance works well without any slowness or lagging.Just go for it!! You will not be regret afterwards,5.0 out of 5 stars
32,"  First of all thank Amazon for wonderful fast delivery before time.  The product is good  I am already using samsung 4 memory cards of 16GB, 32GB,  64 GB and this new one 64GB .  Samsung is a good brand like sandisk is also a good one but it charge prices more than other brands that is too bad,  not fair enough.  Coming to durability I'm using others from past 5 yrs no issues till now,  next one about its quality very good,  now. If I talk about  about  it's storage capacity it disappoints me little bit as it actually offers 59GB(approx)  out 64GB ,I don't know what the hell is remaining 5Gb,  they are doing means it contains application or system apps.  But still 5GB is a very big storage which is proving to be unuseful.  Otherwise overall good.",4.0 out of 5 stars
33,"  Delivered on second day.. useable memory is 28GB ... bought it for 619... mrp is 1,100.. highly recommended at this price..and most important the pqckaging says manufactured in september 2017 so complete 10 yrs warranty",5.0 out of 5 stars
34,  The micro sd card is working well and its a quality product. So i must recommend to buy this. The Delivery is exact. Happy customer 😊 100% original in good pricing,5.0 out of 5 stars
35,  Product shipment fast. Most Samsung card in local store are duplicates. This one from Appario found original. Made in Philippines. Card i got from Malaysia last year made in Malaysia from Samsung had 95 and 83mbps. Indian version seem little slow . I found read speed surprisingly low than san disk. But SanDisk write speed is 35mbps in india for same price. Sandisk A1 card. So I'm okey with overall. SanDisk read is always above 70mbps in A1 card above 64gb. 32 gb cards of both brands have less speed. I don't know y. Speed is depend on size of card,4.0 out of 5 stars
36,  I kept it and did not checked.  When put in phone it is full with virus.  I cannot erase anything in it. Nor it is formatting.Worst. I can't send it back as i have overdue replacement days.  But plz do not buy.,1.0 out of 5 stars
37,"  i have purchased it , and after 2 years of use it stop working then i contacted samsung service center,but they just checked and said their is scratch on memory card so I can not claim warranty, they will check the scratches under the microscope so if once you purchased it then forgot about the warranty. very bad experience, even sandisk memory card is way more better and cheaper using since more then 6 years.",1.0 out of 5 stars
38,"  Samsung Evo Plus Class 10 is the best and top-of-the-line micro SD card you can buy. Better performance (read/write speeds) than SanDisk class 10. I purchased it at Rs. 614/- Look out for offers during festivals and season sales, the price fluctuates between Rs. 600-1000.",5.0 out of 5 stars
39,  This is what was shipped to me.Looks like a fake to me. A sticker of 128gb on top of a 64gb package. Even through the packing.. one can make out that the micro sd card itself is a fake with a saumsung sticker (bad imitation).The SD card adaptor is also missing.Please do NOT order this item.,1.0 out of 5 stars
40,  Nice and fast memory card. i have had issues with other memory cards which auto unmount and mount due to data read failures. there is no such error with this one. It has been quite stable and lets me store lots of data and the read speeds are almost as if i am moving data in the internal memory.no dislikes as of now.,5.0 out of 5 stars
41,"  When you are using your phone extensively for media consumption, photography and entertainment, increasing storage of your device becomes very important. While doing this you don't want to  slow down your device. What I love about this card is:-------------------------------------------------Initial impressions:✓This is by far the best micro sd card I have owned. I have used cheap cards in the past and at some point they will give up and you will loose your data.✓ Tip: Using Samsung micro SD card will not slow down your device due to the latest technology used.-------------------------------------------------Whats in the box:✓ 1 x Samsung microSD card.-------------------------------------------------Pros:✓ Reliable and you will not loose data after prolonged use，unlike the other cheap cards!!✓  Great speeds to retrieve data from the card, it will not slow down your device.✓ Easy to install.✓ Water resistant technology.✓ Dust proof.✓ Samsung's reliability.✓ 1 year warranty.-------------------------------------------------Cons:✓ Could be priced better.-------------------------------------------------Verdict:✓Though the price is slightly high the Pros out weigh the cons and the card passes with flying colours. I will recommend it!",5.0 out of 5 stars
42,"  Go through my review once before buying this memory card.Using this memory card since a month now. Packaging has hologram so I'm relieved about genuineness. This card was my first choice as it supports 4K recording so I'm using it in both action camera and mobile.Performance : 95%Quality : 95%Features : 90%Value for money : 95%Overall Rating: 94%PERFORMANCE :I did benchmark tests & performance was considerable. Read & write speeds are not what Samsung advertised but it's acceptable as performance varies with many factors.BENCHMARK RESULT :Read : 84 MB/sWrite : 42 MB/s[ Check screenshots added with review ]HARDWARE :This memory card is Class 10 UHS - I U3 certified. It's water-proof, temperature proof, magnet proof and X-Ray proof as well so I'm not worried about any loss of data under such conditions.FINAL VERDICT :Samsung Evo Plus is an easy buy because it's fast enough for a smartphone or tablet and action camera as well. It comes with a full-size SD adapter, so don't worry about buying one separately and also it comes with 10 year warranty for peace of mind.I hope this helped you.",5.0 out of 5 stars
43,"  Samsung Note 8 can't read/detect this card. Plus tried on another phone as well. Couldn't read on that also. Sending it back. So replacing it with a similar unusable card won't help. Couldn't find a money back option, only replacement. Can seller please contact me?",1.0 out of 5 stars
44,"  I got the 64 gigs version of this microSD card for my Poco F1 at 1000 bucks. Had an old 32 gigs card before, where I had all my media library. I backed it up to my laptop, then transferred it to this new card. Got a steady 20 MB/s speed for moving around 20 gigs of data. But when transferring media from my phone to this card, it maintained a speed of around 80 MB/s. Overall, I'm happy with this purchase.",4.0 out of 5 stars
45,  Read and write speed is really good. It is been more than a month and working great. Highly recommend this product to all. Look for lighting deal for best price to buy.,5.0 out of 5 stars
46,"  Beast of a deal! Functionally no issues. Works like a charm. Gives very good read/write speeds in my Redmi Note 4.Though it appears to be of the standard microSD card dimensions, it was not a perfect fit in the Redmi Note 4 tray. I was not able to slot it perfectly onto the tray. However, the tray can be closed despite the ill-fitting card, so am able to use it.Would have given full 5 stars if not for the tolerance issue with slotting-in onto the card tray.",4.0 out of 5 stars
47,  I’m using this SD Cards form Past 2 Years.I have 4 Sd cards of 64 GB capacity each card provide around 56GB usable space.Read write speed of Samsung SD Card is Quite good and I bought it for 699₹ on Amazon Prime day sale. And it’s comes with 10 Year Warranty,5.0 out of 5 stars
48,"  I was earlier sent a fake card which I identified in 1 second.Then I ordered a replacement online through Amazon and now I finally got an ORIGINAL Samsung card.I've attached photos the real card's packaging, so you may decide wisely what card you're getting... If you feel something is wrong (detail not matching order, wrong fonts, bad quality print, etc.) return it by going to ""My order"" on Amazon and ask for original one immediately....The write speed, as guaranteed by U3 marking should be above 30MB/ second as per Memory card association.In my card it was claimed to be 90MB/ second on package, and 100MB/ second read speed.Of course, on an older system with no so accurate readers, you get around 20 MB/ second maximum. But on newer mobiles phones, you do get upto 60-90 MB/second or so.This card is good for phones supporting SDXC, and remember, it may also be supported on phones which claim to support much less.Example, My Redmi 2 Prime claimed to support only 32GB, and guess what, 64 and even 128 GB cards from both Samsung and Sandisk were supported and ran awesome!! Please remember SDXC standard supports very high capacities, maybe upto 512 GB. SDHC, an older standard supports only upto 32GB.Card was made in Phillipines. A useful SD adaptor (with a writing-lock switch) was supplied which was made in China.Capacity that came was 119GB, which is slightly more than 128,000,000,000 bytes.(The difference in capacity is due to 1024 bytes=1KB and 1024KB= 1MB and 1024 MB = 1GB).",4.0 out of 5 stars
49,"  quite a fast card, using in nintendo switch no lags1. this is U3, faster than U1, 2 and regular C10 cards2. reliable as per other cards in different capacity owned by me3. well packed4. comes with adaptor",5.0 out of 5 stars
50,"  The product from samsung is very good .It gives you good read and write speed . In my test it gave me around 30mb write speed. I have booked this product one from amazon and one from flipkart at the rate of Rs. 500/= on offer period.Both the product are original and good read and write speed.I am happy with my purchase and ordered one more from flipkart because the courier service of flipkart is better than amazon. They always deliver the product at home . But amazon courier boy always left the product here and there and they dont mind to inform us where they left our product and later  We have to search for it asking everyone. Especially this things happen when we order on prepaid. So, I prefer cash on delivery than prepaid. That is the only minus point, otherwise every thing is fine.",4.0 out of 5 stars
